srp,price_info,room_info,size_info,main_info,possession_info,nearby_places,Airport,Hospital,Market
srp-1495,,"2 BHK, 2 BHK","1137 sq.ft, 0 sq.ft","Price on RequestSibasakti EnclaveBy  Sibasakti Estcon Pvt Ltd.2 BHK Flat for sale in OrakalSizes1087 - 1137 sq.ft.LocalityOrakal, Bhubaneswar Looking for Apartment in Orakal, Bhubaneswar ?. Sibasakti Enclave is a project by Sibasakti Estcon Pvt Ltd.. The project is offering 2 BHK. As per the area plan, units are in the size of 1087.0 sq.ft.. Sibasakti Enclave is located in Jatani.Sibasakti Enclave offers a host of facilities for residents. This includes Power Backup. There is 24x7 Security. These amenities in Sibasakti Enclave are those that ever...more5",,"Saraswati shishu vidya mandir, Orakalais 1.5 km awayAdarsh Home - psychiatric Wellness Center for Psychiatric and De-Addiction Treatmentis 7.7 km awaymore...SESibasakti Estcon Pvt Ltd.DeveloperView PhoneContact Developer",No,No,No
srp-1496,,"2, 3, 4 BHK, 2 BHK, 3 BHK, 4 BHK","1500 sq.ft, 0 sq.ft","Price on RequestSatyaayan Niladri Avenue4By  Satyaayan Genesis2, 3, 4 BHK Duplex,Villas for sale in SundarpadaSizes903 - 1500 sq.ft.LocalitySundarpada, Bhubaneswar Satyaayan Niladri Avenue is a residential project in Sundarpada, Bhubaneswar . It is set in an area of 5 Acres . Satyaayan Niladri Avenue offers Duplex. Available configurations include 2 BHK, 3 BHK, 4 BHK. Duplex, as per the area plan, are in the size range of 903.0 - 1500.0 sq.ft.. Satyaayan Niladri Avenue is located in Sundarpada. The project is developed by Satyaayan Genesis.There is 24x7 Security. It i...more5",,"Kalinga Vidyapeeth, Sundarpadais 0.4 km awaySalamatak Healthcare and Fertility Centeris 0.4 km awaymore...SGSatyaayan GenesisDeveloperView PhoneContact Developer",No,No,No
srp-1497,,"2, 3 BHK, 3 BHK, 2 BHK, 3 BHK",1449 sq.ft,"Price on RequestDHPL Sahoo ResidencyBy  Devavrat Homes2, 3 BHK Flats for sale in MancheswarSizes881 - 1449 sq.ft.LocalityRangamatia, Mancheswar,Bhubaneswar DHPL Sahoo Residency is a prime housing project launched by leading real estate firm Devavrat Homes, it is located in Mancheswar, Bhubaneswar. Beautiful and comfortable 2 and 3 BHK apartments are available in the project. Built-up area of 2 BHK apartments is in the range of 881 to 947 sq ft. and for 3 BHK apartments it is in the range of 1136 to 1449 sq ft. Round the clock security, lifts, power back-up, ba...more5",,Tridev Public Schoolis 1.2 km awayCentral Hospital East Coast Railwayis 1.8 km awaymore...DHDevavrat HomesDeveloperView PhoneContact Developer,No,Yes,No
srp-1498,₹28.8 L,,"1200 sq.ft, 0 sq.ft, 0 sq.ft","₹28.8 L - 1.15 CrEMI starts at ₹15.25 KVerizon South Park CityBy  Verizon Infratech	Residential Plots for sale in KhordhaPossession DateAug, 2017Plot area1200 sq.ftAverage Price2.4k/sq.ftVerizon South Park City is a residential plot by Verizon Infratech. This plot is available for sale in Khordha, Bhubaneswar . This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 4800.0 sq.ft.. The address of Verizon South Park City is Jatani.Verizon South Park City ensures a coveted lifestyle and offers a convenient living. It offers facilities such as ...more5","Possession DateAug, 2017Plot area1200 sq",SWOSTI JYOTI SCHOOL OF BASIC SCIENCEis 0.4 km awayDr.Himanshu Sekhar Sahoois 0.3 km awaymore...VIVerizon Infratech	DeveloperView PhoneContact Developer,No,No,No
srp-1499,₹1.78 Cr,"3 BHK, 3 BHK",0 sq.ft,"₹1.78 Cr - 1.88 CrEMI starts at ₹88.57 KCSS Pristine HeightsRERABy  CSS SJ Developer3 BHK Flat for sale in BJB NagarPossession DateFeb, 2026Average Price₹8 K/sq.ftPossession StatusUnder ConstructionLooking for Apartment in BJB Nagar, Bhubaneswar ?. CSS Pristine Heights is a project by CSS SJ Developer. The project is offering 3 BHK. It is set in 0.38 Acres . CSS Pristine Heights is a Under Construction residential project. There are 40 units. There is 1 building in this project. As per the area plan, units are in the size range of 2230.0 - 2350.0 sq.ft.. CSS Pristine Heights is located in BJB Nagar. C...more5","Possession DateFeb, 2026Average Price",Kiddoden pre-schoolis 0.3 km awayShree Hospitalsis 0.4 km awaymore...CSCSS SJ DeveloperDeveloperView PhoneContact Developer,No,Yes,No
srp-1500,,"73, 4 BHK, 3 BHK, 4 BHK","1432 sq.ft, 0 sq.ft","Price on RequestOSHB OCHB Kharavela EnclaveRERABy  Dumduma Phase 73, 4 BHK Flats for sale in JagamaraSizes1385 - 1432 sq.ft.LocalityJagamara, Bhubaneswar Residential project, OSHB OCHB Kharavela Enclave in Bhubaneswar  is offering units for sale in Jagamara. Check out some Apartment that suit your lifestyle and liking. The property offers 3 BHK, 4 BHK units. As per the area plan, units are in the size of 1385.0 sq.ft.. The project by Dumduma Phase 7 is set in 0.16 Acres. Contact for further details. OSHB OCHB Kharavela Enclave is located in Dharmavihar, Jaga...more5",,SRI VINAYAKA-Jagamarais 0.2 km awayAastha Skin & Gyneac Careis 0.6 km awaymore...DPDumduma Phase 7DeveloperView PhoneContact Developer,No,No,No
srp-1501,,"1 BHK, 1 BHK","304 sq.ft, 0 sq.ft","Price on RequestTrishakti GV Enclave1RERABy  Trishakti Promoters and Builders1 BHK Flat for sale in ChandrasekharpurSizes304 sq.ft.LocalityKanak Durga Nagar, Chandrasekharpur,Bhubaneswar Trishakti GV Enclave is a project by Trishakti Promoters and Builders in Bhubaneswar . Trishakti GV Enclave offers some of the most conveniently designed Apartment. Located in Chandrasekharpur, it is a residential project. Trishakti GV Enclave offers some of the most exclusive 1 BHK. As per the area plan, units are in the size of 304.0 sq.ft.. The address of Trishakti GV Enclave is Chandrasekharpur, Bhubane...more5",,Orchid Public Schoolis 0.2 km awayHospihome | Stroke care | Paralysis | Neurological disorder | Old age care | Rehabilitationis 0.5 km awaymore...TPTrishakti Promoters and BuildersDeveloperView PhoneContact Developer,No,No,No
srp-1502,,"5 BHK, 2 BHK, 5 BHK","1455 sq.ft, 0 sq.ft","Price on RequestDream GDS Palm VillaBy  Dream Services Pvt Ltd2, 3.5 BHK Villas for sale in PatrapadaSizes1120 - 1455 sq.ft.LocalityKalinga Vihar, Patrapada,Bhubaneswar Dream GDS Palm Villa is a residential project in Patrapada, Bhubaneswar . Dream GDS Palm Villa offers Villa. Available configurations include 2 BHK, 3.5 BHK. Villa, as per the area plan, are in the size of 1120.0 sq.ft.. Dream GDS Palm Villa is located in Raghunathpur, Patia. The project is developed by Dream Services Pvt Ltd.Enjoy a class-apart lifestyle at Dream GDS Palm Villa.Located close to prominent s...more5",,Aama Gharais 0.6 km awaySmart City Smilesis 1 km awaymore...DSDream Services Pvt LtdDeveloperView PhoneContact Developer,No,No,No
srp-1503,,"3 BHK, 3 BHK","1800 sq.ft, 0 sq.ft","Price on RequestMahavir Jagannath NivasBy  Mahavir Associates and Home Creation3 BHK Villa for sale in JatniSizes1530 - 1800 sq.ft.LocalityJatni, Bhubaneswar Residential project, Mahavir Jagannath Nivas in Bhubaneswar  is offering units for sale in Jatni. Check out some Villa that suit your lifestyle and liking. The property offers 3 BHK units. As per the area plan, units are in the size of 1530.0 sq.ft.. Contact for further details. Mahavir Jagannath Nivas is located in Jatani.In terms of facilities, Mahavir Jagannath Nivas is loaded with multiple offerings suc...more5",,"Odisha Brigade Sainik Schoolis 1.1 km awayJATNI HOSPITAL, CHC Jatniis 2.4 km awaymore...MAMahavir Associates and Home CreationDeveloperView PhoneContact Developer",No,Yes,No
srp-1504,,"1, 3 BHK, 1 BHK, 3 BHK","1333 sq.ft, 0 sq.ft","Price on RequestSai Roshan VillaBy  Sai Roshan Infrastructure1, 3 BHK Flats for sale in ShampurSizes674 - 1333 sq.ft.LocalityShampur, Bhubaneswar Sai Roshan Infrastructure has lauched Sai Roshan Villa in Shampur, Bhubaneswar . Popular configurations include 1 BHK, 3 BHK units. As per the area plan, units are in the size of 674.0 sq.ft.. The address of Sai Roshan Villa is Shampur.Enjoy a host of facilities at Sai Roshan Villa which includes Power Backup. Other provisions include access to Landscaping & Tree Planting. Own a home in Sai Roshan Villa tod...more5",,AMA EKLAVYA School of Arts & Musicis 0.2 km awayDr. Sourav Mishra | PULMONOLOGIST | Assistant Professoris 0.1 km awaymore...SRSai Roshan InfrastructureDeveloperView PhoneContact Developer,No,No,No
