srp,price_info,room_info,size_info,main_info,possession_info,nearby_places,Airport,Hospital,Market
srp-1,₹1.95 Cr,"5 BHK, 3 BHK, 5 BHK, 4 BHK, 5 BHK",0 sq.ft,"New Launch₹1.95 Cr - 4.11 CrEMI starts at ₹96.97 KEvos AlchemyRERABy  Evos Buildcon Pvt. Ltd.3, 3.5, 4.5 BHK Flats for sale in RaghunathpurPossession DateOct, 2028Average Price₹8.65 K/sq.ftPossession StatusUnder ConstructionLooking for Apartment in Raghunathpur, Bhubaneswar ?. Evos Alchemy is a project by Evos Buildcon Pvt. Ltd.. The project is offering 3 BHK, 3.5 BHK, 4 BHK, 4.5 BHK. It is set in 6.9 Acres . Evos Alchemy is a Under Construction residential project. There are 750 units. There are 4 buildings in this project. As per the area plan, units are in the size range of 2258.0 - 4755.0 sq.ft.. Evos Alchemy is located in...more5","Possession DateOct, 2028Average Price",Kidzee Raghunathpuris 0.1 km awayClinic of Laparoscopic surgery Dr Tanmaya Pandais 1 km awaymore...Evos Buildcon Pvt. Ltd.Developer + 4 moreBrochureContact Sellers,No,Yes,No
srp-2,₹1.25 Cr,"5 BHK, 3 BHK, 4 BHK",,"View   Tour₹1.25 Cr - 1.38 CrEMI starts at ₹62.06 KJB EstellaRERABy  J B Assets Pvt Ltd3.5, 4, 4.5 BHK Villas for sale in HanspalPossession DateApr, 2026Average Price₹5.44 K/sq.ftPossession StatusUnder ConstructionWelcome to JB Estella European Villas &ndash; Your Gateway to Spanish Elegance in Bhubaneswar, Odisha!
  
Nestled in the heart of Bhubaneswar, JB Estella European Villas brings you a unique blend of luxurious living inspired by the charm and allure of Spanish 3 BHK and 4 BHK Villas. Take the luxurious chance to embrace a lifestyle of opulence and sophistication amidst a serene and lush environment. With m...more5","Possession DateApr, 2026Average Price",Balianta High Schoolis 0.1 km awayHi-Tech Medical Pandara Maa Tairini Nadia Raniis 2.7 km awaymore...J B Assets Pvt LtdDeveloper + 1 moreBrochureContact Sellers,No,Yes,No
srp-3,₹95.16 L,"5, 4 BHK",,"₹95.16 L - 2.02 CrEMI starts at ₹47.24 KShuvam AvenueRERAMarketed by  Orimark Properties2, 3, 3.5, 4 BHK Flats for sale in GhatikiaPossession DateJun, 2030Average Price₹11.89 K/sq.ftPossession StatusUnder Construction5","Possession DateJun, 2030Average Price",D C M Saraswati Vidya Mandiris 1.7 km awayASSURE HOSPITALis 1.8 km awaymore...OPOrimark PropertiesSeller + 4 moreBrochureContact Sellers,No,Yes,No
srp-4,₹1.94 Cr,"5, 4 BHK, 3 BHK, 5 BHK, 4 BHK",0 sq.ft,"View   Tour₹1.94 Cr - 2.64 CrEMI starts at ₹96.46 KFalcon TatvaRERAMarketed by  FALCON REAL ESTATE3, 3.5, 4 BHK Flats for sale in KhandagiriPossession DateFeb, 2028Average Price₹8.25 K/sq.ftPossession StatusUnder ConstructionFalcon Tatva is a residential project in Khandagiri, Bhubaneswar . It is set in an area of 3.92 Acres . Falcon Tatva offers Apartment. Available configurations include 3 BHK, 3.5 BHK, 4 BHK. Apartment, as per the area plan, are in the size range of 2355.0 - 3205.0 sq.ft.. The property is Under Construction. There are 4 buildings for sale. The project was launched in May 2023 and possession date of Falcon Ta...more5","Possession DateFeb, 2028Average Price",Brilliant Mindsis 0.2 km awayDoctors Patholab (Diagnostic Service in Bhubaneswar )is 1.6 km awaymore...FALCON REAL ESTATESeller + 5 moreBrochureContact Sellers,No,No,No
srp-5,₹3.45 Cr,"3, 4 BHK",,"₹3.45 Cr - 4.4 CrEMI starts at ₹1.71 LacsDN Yoo OdishaRERAMarketed by  Om shri sai3, 4 BHK Flats for sale in Gajapati NagarPossession DateFeb, 2029Average Price₹22.35 K/sq.ftPossession StatusUnder Construction5","Possession DateFeb, 2029Average Price","Firstcry Intellitots Preschool & Daycare - Gajapati Nagar, Bhubnaneshwaris 1 km awayDr. Manas Ranjan Kar - Most Popular Neuro Interventional Radiologist Bhubaneswar Odishais 2 km awaymore...Om shri saiSeller + 3 moreBrochureContact Sellers",No,No,No
srp-6,₹98.12 L,3 BHK,,"₹98.12 L - 1.07 CrEMI starts at ₹48.71 KJIVA AT GATIKRUSHNA GREENRERABy  Panda Infratech3 BHK Flat for sale in AlarpurPossession DateMay, 2026Average Price₹5.25 K/sq.ftPossession StatusUnder Construction5","Possession DateMay, 2026Average Price",Maa Jagulai Saraswati Shishu Mandiris 0.2 km awayVIKASH HOSPITAL BHUBANESWARis 3.3 km awaymore...Panda InfratechDeveloperBrochureContact Developer,No,Yes,No
srp-7,₹98.01 L,3 BHK,,"₹98.01 L - 1.33 CrEMI starts at ₹48.66 KCodename IbhaRERAMarketed by  ODISHA ONE PROPETIES 3 BHK Flat for sale in KhordhaPossession DateJun, 2029Average Price₹5.55 K/sq.ftPossession StatusUnder Construction5","Possession DateJun, 2029Average Price","S.S.V.M,Chandakais 1.4 km awayAhalya Hospitalis 6 km awaymore...OOODISHA ONE PROPETIES Seller + 4 moreBrochureContact Sellers",No,Yes,No
srp-8,₹1.47 Cr,"3, 4 BHK, 3 BHK, 4 BHK",,"₹1.47 Cr - 2.17 CrEMI starts at ₹72.92 KMotwani AnantaraRERAMarketed by  Beyond360 Realty3, 4 BHK Flats for sale in JharapadaPossession DateDec, 2028Average Price₹6.8 K/sq.ftPossession StatusUnder ConstructionMotwani Anantara is a project by Motwani Constructions Pvt. Ltd. in Bhubaneswar . It is a Under Construction project. Motwani Anantara offers some of the most conveniently designed Apartment. Located in Jharapada, it is a residential project. The project is spread over 4 Acres . It has 320 units. There are 4 buildings in this project. Motwani Anantara offers some of the most exclusive 3 BHK, 4 BHK. As per t...more5","Possession DateDec, 2028Average Price",Jharapada High Schoolis 0.1 km awayUPHC Jharapadais 0.1 km awaymore...BRBeyond360 RealtySeller + 1 moreBrochureContact Sellers,No,No,No
srp-9,₹17.4 L,,1740 sq.ft,"₹17.4 L - 24.0 LEMI starts at ₹9.21 KKrishna VatikaMarketed by  My Nest Assets Pvt LtdResidential Plots for sale in PhulnakharaPossession DateOct, 2024Plot area1740 sq.ftAverage Price1.0k/sq.ft5","Possession DateOct, 2024Plot area1740 sq",St. Xavier's High Schoolis 1.7 km awayDr Prasant Kumar Parida Medical Oncologistis 3.3 km awaymore...My Nest Assets Pvt LtdSellerView PhoneContact Seller,No,Yes,No
srp-10,₹83.36 L,"2, 3, 4, 5 BHK, 2 BHK, 3 BHK, 4 BHK",0 sq.ft,"₹83.36 L - 5.6 CrEMI starts at ₹41.38 KStalwart PrideRERABy  Stalwart Projects Pvt Ltd2, 3, 4, 5 BHK Flats for sale in PokhariputPossession DateJan, 2027Average Price₹8.85 K - 10.65 K/sq.ftPossession StatusUnder ConstructionCheck out this residential project for sale by Stalwart Projects Pvt Ltd in Pokhariput, Bhubaneswar . Stalwart Pride offers Apartment as property type. The project has been developed in an area of 0.42 Acres . It is currently Under Construction. Available configurations include 2 BHK, 3 BHK, 4 BHK. As per the area plan, units are in the size range of 942.0 - 3139.0 sq.ft.. Stalwart Pride was launched in Feb...more5","Possession DateJan, 2027Average Price",Radhika Pre-schoolis 0.3 km awayDivine Super Speciality Clinicis 1.8 km awaymore...Stalwart Projects Pvt LtdDeveloper + 1 moreBrochureContact Sellers,No,Yes,No
srp-11,₹69.57 L,"2, 3 BHK",,"₹69.57 L - 86.74 LEMI starts at ₹36.84 KSineway Saanvi EnclaveRERAMarketed by  Dream House Realty2, 3 BHK Flats for sale in MendhasalaPossession DateJul, 2026Average Price₹5.2 K/sq.ftPossession StatusUnder Construction5","Possession DateJul, 2026Average Price",Govt.High School Mendhasalis 0.3 km awayMendhasal Community Health Centeris 0.9 km awaymore...Dream House RealtySellerBrochureContact Seller,No,No,No
srp-12,₹90.13 L,2 BHK,,"₹90.13 L - 90.51 LEMI starts at ₹44.75 KB3 SunriseRERABy  B3 Creation Pvt Ltd2 BHK Flat for sale in TamandoPossession DateFeb, 2026Average Price₹5.4 K/sq.ftPossession StatusUnder ConstructionB3 Sunrise Project Is A Luxury Residential B+s+4 Apartment Designed To Accommodate Natural Light ,air And Ample Of Parking Space At Tamando,bhubaneswar A Walking Distance Of 700 Meter From Nh-16 And Within 1km From Kaling Nagar . The Project Is Well-connected To Nearby Bazar Educational Institution And Hospital In The City .b3 Sunrise Project Is A Great Option For Homebuyers Looking For Vastu Compliance Mod...more5","Possession DateFeb, 2026Average Price",MSME Global Biotechnologyis 0.3 km awaySmart City Smilesis 5.2 km awaymore...BCB3 Creation Pvt LtdDeveloperView PhoneContact Developer,No,No,No
srp-13,₹5.11 Cr,"4, 5 BHK",,"₹5.11 Cr - 6.16 CrEMI starts at ₹2.54 LacsDN KingslandRERAMarketed by  KNR INTEGRITY4, 5 BHK Flats for sale in Sahid NagarPossession DateOct, 2027Average Price₹12.96 K/sq.ftPossession StatusUnder ConstructionA Grandeur Lifestyle Awaits Your Arrival.
Pinnacle Of Luxury, And Bespoke Residences For The Royals Located At Bhubaneswar's Poshest Locality With Superior Connectivity. The Royal Experience Meted Out To Residents Of Dn Kingsland Is Built Around 7 Special Features Of Royal Life. They Emphasize The Abstract And Aesthetic Qualities That Define The Scope Of Choices And Lifestyles That Modern Royals Prefer. Th...more5","Possession DateOct, 2027Average Price",Sunshine International PreSchoolis 0.4 km awayRK VISION EYE CLINIC - a Super speciality eye hospitalis 0.2 km awaymore...KNR INTEGRITYSeller + 1 moreBrochureContact Sellers,No,Yes,No
srp-14,₹1.69 Cr,"5 BHK, 5 BHK, 5 BHK",0 sq.ft,"₹1.69 Cr - 1.82 CrEMI starts at ₹83.9 KDN PallaciyaRERAMarketed by  COSTAL REALTY PRIVATE LIMITED3.5 BHK Flat for sale in SundarpurPossession DateAug, 2024Average Price₹7.71 K/sq.ftPossession StatusUnder ConstructionProperty for sale in Sundarpur, Bhubaneswar . This project, that is, DN Pallaciya is a well designed project by D.N.Homes. It is offering Under Construction units. If you are looking at Apartment, you should check out DN Pallaciya. Available configurations include 3.5 BHK, 4.5 BHK. As per the area plan, units are in the size range of 2190.0 - 2995.0 sq.ft.. Project possession is slated for Aug, 2024. Total ...more5","Possession DateAug, 2024Average Price",The DN Wisdom Tree Global Schoolis 3 km awayAshirbadis 2.9 km awaymore...COSTAL REALTY PRIVATE LIMITEDSeller + 5 moreBrochureContact Sellers,No,No,No
srp-15,₹1.22 Cr,"3 BHK, 2 BHK, 3 BHK",0 sq.ft,"₹1.22 Cr - 1.56 CrEMI starts at ₹60.44 KPramod HeightsRERABy  Shree Ganesh Buildcon Pvt Ltd3 BHK Flat for sale in RasulgarhPossession DateDec, 2028Average Price₹6.5 K/sq.ftPossession StatusUnder ConstructionResidential project, Shree Ganesh Pramod Heights in Bhubaneswar  is offering units for sale in Rasulgarh. Check out some Apartment that suit your lifestyle and liking. Possession date of Shree Ganesh Pramod Heights is Nov, 2022. The property offers 2 BHK, 3 BHK units. As per the area plan, units are in the size of 1177.0 sq.ft.. It has 62 units. There is 1 building in this project. Contact for further detai...more5","Possession DateDec, 2028Average Price",MAA ASSESSMENT CENTERis 0.4 km awaySpandan Oral Cancer Clinicis 3.4 km awaymore...Shree Ganesh Buildcon Pvt LtdDeveloper + 1 moreBrochureContact Sellers,No,Yes,No
srp-16,,,,,,,No,No,No
srp-17,₹69.22 L,"3 BHK, 3 BHK",0 sq.ft,"View   Tour₹69.22 L - 92.9 LEMI starts at ₹36.65 KJB PolarisRERABy  J B Assets Pvt Ltd3 BHK Flat for sale in DashabatiaPossession DateAug, 2027Average Price₹5.6 K/sq.ftPossession StatusUnder ConstructionBhubaneswar 's residential project, JB Polaris is offering property for sale. Check out some Apartment. Available configurations include 3 BHK formats in Dashabatia. It is a Under Construction project by J B Assets Pvt Ltd. As per the area plan, units are in the size range of 1236.0 - 1659.0 sq.ft.. JB Polaris was launched in October 2023 and possession date is Aug, 2027. There are 79 units in JB Polaris. T...more5","Possession DateAug, 2027Average Price",Ajay Science Collegeis 15.7 km awaySmart City Smilesis 20.6 km awaymore...J B Assets Pvt LtdDeveloperBrochureContact Developer,No,No,No
srp-18,₹1.31 Cr,3 BHK,,"₹1.31 Cr - 1.53 CrEMI starts at ₹64.92 KUrbanyx CourtRERABy  Urbanyx Infra Private Limited3 BHK Flat for sale in Arya VillagePossession DateMar, 2027Average Price₹7 K/sq.ftPossession StatusUnder Construction5","Possession DateMar, 2027Average Price",Cuemath Online Tution Centeris 4.4 km awayHILLSIDE NURSING HOMEis 4.6 km awaymore...UIUrbanyx Infra Private LimitedDeveloperView PhoneContact Developer,No,No,No
srp-19,,,,,,,No,No,No
srp-20,₹1.05 Cr,3 BHK,,"₹1.05 Cr - 1.29 CrEMI starts at ₹52.13 KDN Fairytale ExtensionRERAMarketed by  Mavenoak Properties3 BHK Flat for sale in MadanpurPossession DateDec, 2026Average Price₹6.17 K/sq.ftPossession StatusUnder ConstructionBHUBANESWAR'S HAPPIEST PLACEBuilt on the model of happiness, DN Fairytale Extension is spread across 3.07 acres (approx.) with 70% (approx.) open area. Every moment spent here will be worth cherishing, every new day will fill your heart with happiness and pride of owning happiness for yourself and your loved ones.more5","Possession DateDec, 2026Average Price","Government High School, Madanpuris 0.9 km awayDr. Mahesh Sultania, Head and Neck Oncology (Oral and Thyroid Cancer), Bhubaneswar, Odishais 3.4 km awaymore...MPMavenoak PropertiesSeller + 5 moreBrochureContact Sellers",No,No,No
srp-21,₹95.88 LEMI,3 BHK,,"₹95.88 LEMI starts at ₹47.6 KEminenza EliteRERAMarketed by  omm creation 3 BHK Flat for sale in BaliantaPossession DateMar, 2026Average Price₹6.0k/sq.ftPossession StatusUnder ConstructionAt Eminenza Elite Every Home Is Ergonomically Designed.it Will Be A Unique Combination Of Mordern Facilities And Tradistional Ambience.the Perfection In Every Details Will Make You Want To Live Life To The Fullest.
&nbsp;more5","Possession DateMar, 2026Average Price","""RHYMES"" PLAY SCHOOLis 0.4 km awayHi-Tech Medical College & Hospitalis 5 km awaymore...omm creation SellerBrochureContact Seller",No,Yes,No
srp-22,₹1.56 Cr,"3, 4 BHK",,"₹1.56 Cr - 2.31 CrEMI starts at ₹77.54 KUtkal LevelsRERABy  Utkal Builders3, 4 BHK Flats for sale in PahalaPossession DateAug, 2027Average Price₹7.31 K/sq.ftPossession StatusUnder ConstructionAn exclusive community of 205 like-minded families, UTKAL LEVELS, located on NH16, facing Jagannath Temple, presents the next level of luxury living with a choice of 3-side open naturally ventilated spacious designer apartments in multiple configurations with 50+ curated amenities that satisfies the need of all the age groups of a family.more5","Possession DateAug, 2027Average Price",Kidozoneis 2.2 km awayNaharkanta UPHCis 3 km awaymore...Utkal BuildersDeveloper + 1 moreBrochureContact Sellers,No,No,No
srp-23,₹1.32 Cr,3 BHK,,"₹1.32 Cr - 1.35 CrEMI starts at ₹65.53 KMJ IconRERAMarketed by  Surakshya Realty3 BHK Flat for sale in BadaraghunathpurPossession DateNov, 2023Average Price8.38 K - ₹8.91 K/sq.ftPossession StatusReady to MoveIntroducing Your Dream Home in Tamando, Bhubaneswar!
Discover the epitome of luxury and space with our Most Spacious Residential Apartment in Tamando, Bhubaneswar priced at just 1.32Cr*!more5","Possession DateNov, 2023Average Price8",Ajay Higher Secondary Schoolis 0.3 km awaySmart City Smilesis 3.2 km awaymore...Surakshya RealtySellerBrochureContact Seller,No,No,No
srp-24,₹76.1 L,"2, 3 BHK",,"₹76.1 L - 1.14 CrEMI starts at ₹37.78 KUrban SerenoRERABy  URBAN DEVELOPERS AND BUILDERS2, 3 BHK Flats for sale in BidyadharpurPossession DateOct, 2028Average Price₹4.5 K/sq.ftPossession StatusUnder Construction5","Possession DateOct, 2028Average Price",KIDDIE GLOBALis 1.5 km awayGETALIVE HEALTHCARE PVT LTDis 6 km awaymore...URBAN DEVELOPERS AND BUILDERSDeveloperBrochureContact Developer,No,No,No
srp-25,,,,,,,No,No,No
srp-26,₹2.25 Cr,"4 BHK, 4 BHK",2869 sq.ft,"₹2.25 Cr - 2.5 CrEMI starts at ₹1.12 LacsUtkal SapphireRERABy  Utkal Builders4 BHK Flat for sale in Laxmi SagarPossession DateMay, 2024Average Price₹7.84 K - 8.68 K/sq.ftPossession StatusUnder ConstructionUtkal Sapphire is a project by Utkal Builders in Bhubaneswar . It is a Under Construction project. Utkal Sapphire offers some of the most conveniently designed Apartment. Located in Laxmi Sagar, it is a residential project. It has 10 units. There is 1 building in this project. Utkal Sapphire offers some of the most exclusive 4 BHK. As per the area plan, units are in the size range of 2869 sq.ft.. The addres...more5","Possession DateMay, 2024Average Price",UP & TTI CAMPUS (COMMISIONERATE POLICE)is 0.2 km awaySunshine Hospitalis 0.5 km awaymore...Utkal BuildersDeveloperBrochureContact Developer,No,Yes,No
srp-27,₹1.14 Cr,"2, 3, 4 BHK",,"₹1.14 Cr - 2.22 CrEMI starts at ₹56.38 KUtkal UtopiaRERABy  Utkal Builders2, 3, 4 BHK Flats for sale in PatrapadaPossession DateJul, 2025Average Price₹7.2 K/sq.ftPossession StatusUnder ConstructionEmbark on a journey of unparalleled living at UTKAL Utopia &ndash; where luxury meets tranquility. Our visionary project is a testament to exquisite design and meticulous craftsmanship. Discover a harmonious blend of contemporary architecture and lush landscapes, providing residents with a serene retreat in the heart of the city.Experience the epitome of modern living at UTKAL Utopia, where every moment is ...more5","Possession DateJul, 2025Average Price",Hellokids Loriis 0.8 km awayOdisha Health Clinic | Best Medical clinic in Bhubaneswaris 1.1 km awaymore...Utkal BuildersDeveloperBrochureContact Developer,No,Yes,No
srp-28,₹1.75 Cr,"2, 3, 4 BHK",,"₹1.75 Cr - 4.61 CrEMI starts at ₹86.88 KUtkal ISquareRERABy  Utkal Builders2, 3, 4 BHK Flat,Penthouses for sale in PatiaPossession DateJan, 2028Average Price₹10.57 K/sq.ftPossession StatusUnder Construction
Welcome innovation to your life. A living designed with intelligence to cater to the needs of tomorrow. Step forward into the future of urban living with the advantages of automation brought to your life by the smart homes at Utkal iSquare.
Innovation and convenience go hand-in-hand here, amplifying the advantages of a smart living by fusing comfort, opulence and the most agreeable location at Patia Squa...more5","Possession DateJan, 2028Average Price","Shemrock cherish pre school and day careis 0.5 km awayDr. Bhumika Mishra, MBBS,MD Gold Medalist, Psychiatrist (Smile health Care)is 0.5 km awaymore...Utkal BuildersDeveloperBrochureContact Developer",No,No,No
srp-29,₹1.15 CrEMI,5 BHK,,"₹1.15 CrEMI starts at ₹57.09 KSB Kokila Dream HomeRERAMarketed by  COSTAL REALTY PRIVATE LIMITED3.5 BHK Villa for sale in SundarpadaPossession DateNov, 2026Average Price₹3.98k/sq.ftPossession StatusUnder Construction5","Possession DateNov, 2026Average Price","Wonderland School - Best English Medium School in Sundarpada, Bhubaneswaris 0.5 km awayAIIMS Hospitalis 15.2 km awaymore...COSTAL REALTY PRIVATE LIMITEDSeller + 1 moreBrochureContact Sellers",No,Yes,No
srp-30,₹20.4 L,,1200 sq.ft,"₹20.4 L - 87.0 LEMI starts at ₹10.8 KMy Nest Aditi Nagar3.8Marketed by  My Nest Assets Pvt LtdResidential Plots for sale in PokhariputPossession DateApr, 2023Plot area1200 sq.ftAverage Price1.7k/sq.ft* Offer- Free Mutation
A mega Plotting &amp; Duplex project in BHUBANESWAR
OWN A PLOT IN WELL PLANNED SOCIETY WITH MORDEN AMENITIES&nbsp;
ONLY 2 km DISTANCE FROM Pokhariput DAV School&nbsp;
Only 5 KM away from Airport &amp; Only 5 KM away from Khandagiri Square.
Adjacent to Proposed 100 ft Road main road of Bhubaneswar to Jatni?Best Location For Both&nbsp; Investment&nbsp; &amp; Residing Purpose .more5","Possession DateApr, 2023Plot area1200 sq","ALAM INSTITUTEis 0.4 km awayUPHC , Pokhariput , BBSRis 0.4 km awaymore...My Nest Assets Pvt LtdSellerView PhoneContact Seller",No,No,No
srp-31,₹1.8 Cr,"5 BHK, 3 BHK, 5 BHK",,"₹1.8 Cr - 2.36 CrEMI starts at ₹89.36 KShuvam MeadowsRERABy  Shuvam Construction Pvt. Ltd.3, 3.5 BHK Flats for sale in PatiaPossession DateDec, 2028Average Price₹14.13 K/sq.ftPossession StatusUnder ConstructionBhubaneswar 's residential project, Shuvam Meadows is offering property for sale. Check out some Apartment. Available configurations include 3 BHK, 3.5 BHK formats in Patia. It is a Under Construction project by Shuvam Construction Pvt. Ltd.. Shuvam Meadows is set in an area of 1.548 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size range of 1281.0 - 1661....more5","Possession DateDec, 2028Average Price","Shemrock cherish pre school and day careis 0.5 km awayDr. Bhumika Mishra, MBBS,MD Gold Medalist, Psychiatrist (Smile health Care)is 0.5 km awaymore...Shuvam Construction Pvt. Ltd.Developer + 1 moreBrochureContact Sellers",No,No,No
srp-32,₹1.08 Cr,"3 BHK, 2 BHK, 3 BHK",,"₹1.08 Cr - 1.43 CrEMI starts at ₹53.62 KSoobha MansionRERABy  Sri Jagannath Promoters and Builders3 BHK Flat for sale in PatiaPossession DateDec, 2025Average Price₹6.63 K/sq.ftPossession StatusUnder ConstructionProperty for sale in Patia, Bhubaneswar . This project, that is, Soobha Mansion is a well designed project by Sri Jagannath Promoters and Builders. It is offering Under Construction units. If you are looking at Apartment, you should check out Soobha Mansion. Set in an expanse of 0.07 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, unit...more5","Possession DateDec, 2025Average Price",Darshwana Schoolis 0.1 km awayUPHC Sikharchandiis 1.5 km awaymore...Sri Jagannath Promoters and BuildersDeveloperBrochureContact Developer,No,No,No
srp-33,₹1.96 Cr,"5, 4, 5 BHK",,"₹1.96 Cr - 3.98 CrEMI starts at ₹97.12 KUrban MajesticRERABy  URBAN DEVELOPERS AND BUILDERS3, 3.5, 4, 5 BHK Flats for sale in PatiaPossession DateDec, 2029Average Price₹8.9 K - 9.9 K/sq.ftPossession StatusUnder ConstructionWelcome to Urban Majestic &ndash; more than just a dwelling; it&rsquo;s a sanctuary promising joy, tranquility, and serenity. Here, life&rsquo;s burdens dissipate, and nature&rsquo;s splendor unfolds around you &ndash; an urban retreat beckoning you to recharge and reconnect. It&rsquo;s a sanctuary you can truly call your own. Our meticulously crafted apartments offer spacious living areas, awe-inspiring vi...more5","Possession DateDec, 2029Average Price",Abhilash Cricket Academyis 0.3 km awayUPHC Sikharchandiis 0.2 km awaymore...URBAN DEVELOPERS AND BUILDERSDeveloper + 1 moreBrochureContact Sellers,No,No,No
srp-34,₹1.04 CrEMI,"3 BHK, 3 BHK, 3 BHK, 3 BHK, 3 BHK, 3 BHK","1800 sq.ft, 1991 sq.ft, 1410 sq.ft","ODYSPACE100+ Buyers ServedHousing Expert ProLocality Champion₹1.04 CrEMI starts at ₹51.83 K3 BHK Flat for sale in PhulnakharaProject NameAlishan Netra GalaxyBuiltup area1800 sq.ftAverage Price₹5.8k/sq.ftProperty HighlightsKid's PoolSwimming PoolYoga RoomGymnasiumA 3 BHK Apartment for sale in Phulnakhara, Bhubaneswar. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Phulnakhara's most desired properties. Contact now for more information. This 3 BHK unit is on floor 2. There are 5 floors in this property. The price of this Apartment is Rs 1.04 Cr. Each unit has a built-up area of 1800 square_feet. The carpet area is 1225 square_feet. Th...more5",,"St. Xavier's High Schoolis 0.9 km awayDr Prasant Kumar Parida Medical Oncologistis 2.7 km awaymore...updated 4 weeks agoView PhoneContact SellerMore properties by ODYSPACESee all properties₹70.0 L3 BHK Villa1991 sq.ft Phulnakhara, Bhubaneswar View DetailsContact Seller₹81.78 L3 BHK Apartment1410 sq.ft Netra Galaxy, Phulnakhara, Bhubaneswar View DetailsContact Seller",No,Yes,No
srp-35,₹1.13 CrEMI,"3 BHK, 2 BHK, 3 BHK, 3 BHK, 3 BHK","940 sq.ft, 1096 sq.ft, 2026 sq.ft, 1999 sq.ft","OPOrimark Properties700+ Buyers ServedHousing Expert ProLocality Champion₹1.13 CrEMI starts at ₹56.24 K3 BHK Flat for sale in JagamaraProject NameStalwart PrideBuiltup area940 sq.ftAverage Price₹12.05k/sq.ftProperty HighlightsLiftGymnasiumCommunity Hall24x7 SecurityThis lovely 2 BHK apartment/flat in Jagamara is available for sale in one of Bhubaneswar's most popular projects, Stalwart Pride. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a Super built up area of 1096 sq.ft. The flat has a total of 12 floors and this property is situated on 4th floor.  More About This Property 3 BHK Apartment for sale in Bhubaneswar. This property is in...more5",,"Radhika Pre-schoolis 0.3 km awayDivine Super Speciality Clinicis 1.8 km awaymore...updated 12 days agoView PhoneContact SellerMore properties by Orimark PropertiesSee all properties₹1.46 Cr3 BHK Apartment2026 sq.ft Shreekhetra Greenpark, Patrapada, Bhubaneswar View DetailsContact Seller₹1.3 Cr3 BHK Apartment1999 sq.ft Pramod Heights, Kesora, Bhubaneswar View DetailsContact Seller",No,Yes,No
srp-36,₹76.56 LEMI,2 BHK,1320 sq.ft,"JMR Realty500+ Buyers ServedHousing Expert ProLocality Champion₹76.56 LEMI starts at ₹38.01 K2 BHK Flat for sale in PatiaProject NamePanchawati ResidencyBuiltup area1320 sq.ftAverage Price₹5.8k/sq.ftProperty HighlightsGymnasiumSwimming PoolCommunity HallChildren Play AreaExperience the epitome of luxury living at our exclusive residential apartments in Patia, Bhubaneswar. Step into a world of indulgence with our state-of-the-art amenities that will leave you breathless. Our apartments are designed with your comfort and convenience in mind, featuring spacious living areas, premium finishes, and modern appliances. But that's not all - our facilities include a rooftop infinity...more5",,Matrubhoomi Public Schoolis 0.8 km awayThe BrainTreeis 2.1 km awaymore...updated todayView PhoneContact Seller,No,No,No
srp-37,₹2.06 CrEMI,3 BHK,2365 sq.ft,"Surakshya Realty600+ Buyers ServedHousing Expert ProLocality Champion₹2.06 CrEMI starts at ₹1.02 Lacs3 BHK Flat for sale in SundarpurProject NameDN PallaciyaBuiltup area2365 sq.ftAverage Price₹8.71k/sq.ftProperty HighlightsKid's PoolBasketball CourtChildren Play AreaIndoor Game RoomCheck out DN Pallaciya in Sundarpur, one of the upcoming under-construction housing societies in Bhubaneswar. There are apartments for sale in DN Pallaciya. This society will have all basic facilities and amenities to suit homebuyer’s needs and requirements.  Brought to you by DN Homes,  DN Pallaciya is scheduled for possession in Aug, 2026.

Being a RERA-registered society, the project details and other im...more5",,The DN Wisdom Tree Global Schoolis 3 km awayAshirbadis 2.9 km awaymore...updated yesterdayView PhoneContact Seller,No,No,No
srp-38,₹1.39 Cr,"5, 3, 4, 5 BHK",,"₹1.39 Cr - 3.84 CrEMI starts at ₹69.01 KUtkal ReserveRERABy  Utkal Builders2.5, 3, 4, 5 BHK Penthouse,Flats for sale in KhandagiriPossession DateDec, 2025Average Price₹7.47 K/sq.ftPossession StatusUnder ConstructionExperience Bhubaneswar's Spacious Living at Patrapada, UTKAL RESERVE presents you the finest living that seamlessly blends opulence and functionality. Elevate your lifestyle with bespoke design, unparalleled craftsmanship, and an ambiance of sophistication. Welcome to a residence where every detail reflects a commitment to unparalleled luxury and exclusivity.more5","Possession DateDec, 2025Average Price",MATHPOINT TUTORIALis 0.7 km awayOdisha Health Clinic | Best Medical clinic in Bhubaneswaris 2.2 km awaymore...Utkal BuildersDeveloperBrochureContact Developer,No,Yes,No
